Metric,Value
timing__unannotated_net__count__corner:max_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,3
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79974
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79989
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000262968
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00029779
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000973717
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00029779
design_powergrid__voltage__worst,0.00029779
design_powergrid__voltage__worst__net:VPWR,1.79974
design_powergrid__drop__worst,0.00029779
design_powergrid__drop__worst__net:VPWR,0.000262968
design_powergrid__voltage__worst__net:VGND,0.00029779
design_powergrid__drop__worst__net:VGND,0.00029779
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0001140000000000000062762295360840880675823427736759185791015625
ir__drop__worst,0.00026299999999999999593380817231036417069844901561737060546875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
