net,length_um
net441,19.94µm
net258,19.92µm
net527,19.9µm
net368,19.88µm
net468,19.86µm
_214_,19.8µm
net90,19.8µm
net357,19.8µm
dout0\[23\],19.75µm
dout0_q\[30\],19.72µm
acc_out[22],19.54µm
net589,19.52µm
_205_,19.4µm
net246,19.38µm
dout0_q\[27\],19.28µm
net501,19.28µm
net380,19.22µm
wr_data[30],19.2µm
net386,19.1µm
net55,19µm
dout0_q\[18\],18.98µm
net234,18.98µm
dout0\[26\],18.91µm
net105,18.76µm
net219,18.74µm
dout0_q\[5\],18.72µm
net284,18.72µm
_147_,18.68µm
net17,18.66µm
net31,18.6µm
net34,18.6µm
_059_,18.51µm
net539,18.5µm
net205,18.42µm
net472,18.4µm
net533,18.32µm
net132,18.18µm
_142_,18.14µm
net243,18.14µm
net100,18.1µm
net339,18.04µm
rd_addr\[2\],18.02µm
net46,17.98µm
dout0_q\[23\],17.88µm
net529,17.82µm
acc_out[4],17.79µm
rd_addr\[3\],17.72µm
net192,17.64µm
net616,17.64µm
net118,17.56µm
net249,17.56µm
net172,17.44µm
dout0_q\[22\],17.36µm
_163_,17.34µm
_232_,17.32µm
dout0_q\[24\],17.24µm
net586,17.19µm
dout0_q\[12\],17.16µm
net569,17.06µm
net334,17.03µm
dout0\[24\],16.915µm
acc_out[6],16.91µm
net556,16.88µm
_050_,16.84µm
net299,16.68µm
net277,16.62µm
net476,16.56µm
net366,16.46µm
_122_,16.36µm
net311,16.34µm
net78,16.3µm
net145,16.22µm
net135,16.2µm
net252,16.18µm
net480,16.16µm
_090_,16.14µm
net26,16.14µm
net21,16.1µm
net382,16.1µm
_162_,16.06µm
wr_data[24],16.06µm
acc_core.adder.cla_blocks\[2\].block.sum\[3\],16.025µm
net353,16.02µm
net681,15.99µm
_120_,15.97µm
net167,15.96µm
net97,15.94µm
net678,15.87µm
dout0_q\[21\],15.84µm
net571,15.84µm
net11,15.76µm
net320,15.76µm
rd_addr\[0\],15.7µm
net70,15.65µm
net479,15.64µm
net170,15.56µm
_159_,15.53µm
_058_,15.45µm
net24,15.38µm
net44,15.36µm
net221,15.34µm
net144,15.3µm
net313,15.3µm
net365,15.3µm
net445,15.3µm
net61,15.28µm
net383,15.26µm
net410,15.26µm
net447,15.26µm
net268,15.18µm
_200_,15.14µm
net554,15.09µm
_203_,15.04µm
_155_,15.025µm
dout0_q\[19\],15.02µm
net254,15µm
dout0_q\[17\],14.97µm
acc_core.adder.cla_blocks\[0\].block.sum\[1\],14.94µm
dout0_q\[28\],14.94µm
net85,14.88µm
net276,14.8µm
_107_,14.78µm
net337,14.76µm
net478,14.76µm
net522,14.76µm
net521,14.75µm
dout0_q\[20\],14.68µm
dout0_q\[29\],14.6µm
net56,14.56µm
net578,14.56µm
net159,14.52µm
_196_,14.48µm
net615,14.48µm
net680,14.47µm
acc_core.adder.cla_blocks\[0\].block.sum\[2\],14.46µm
net110,14.46µm
acc_out[14],14.42µm
net53,14.42µm
net210,14.4µm
net41,14.38µm
net361,14.36µm
net10,14.34µm
net29,14.34µm
net581,14.34µm
net679,14.27µm
net572,14.24µm
net183,14.22µm
_141_,14.2µm
_006_,14.19µm
net149,14.1µm
wr_data[23],14.08µm
_261_,14.04µm
net109,14.02µm
net682,13.96µm
net349,13.94µm
net273,13.9µm
dout0_q\[14\],13.88µm
net336,13.84µm
net530,13.82µm
wr_data[21],13.78µm
wr_data[22],13.78µm
net612,13.72µm
net206,13.66µm
net686,13.59µm
net687,13.59µm
net113,13.54µm
net674,13.53µm
net602,13.52µm
net25,13.5µm
net28,13.38µm
net573,13.37µm
net676,13.36µm
net683,13.36µm
net684,13.36µm
net171,13.34µm
_192_,13.3µm
_204_,13.26µm
net619,13.26µm
net685,13.13µm
net688,13.13µm
net163,13.1µm
net345,13.08µm
net497,13.04µm
acc_out[7],13.03µm
dout0_q\[25\],12.99µm
net512,12.94µm
net15,12.86µm
rd_addr\[4\],12.84µm
_240_,12.76µm
net500,12.7µm
net675,12.68µm
net652,12.66µm
_145_,12.64µm
_114_,12.6µm
net238,12.58µm
net356,12.58µm
net488,12.58µm
net518,12.56µm
_265_,12.52µm
_100_,12.5µm
_191_,12.48µm
wr_data[29],12.4µm
net519,12.26µm
_234_,12.16µm
acc_out[23],12.16µm
net112,12.16µm
net385,12.16µm
net19,12.14µm
_111_,12.12µm
net115,12.12µm
_188_,12.1µm
net451,12.1µm
net677,12.08µm
_181_,12.04µm
_256_,12.04µm
_007_,12.01µm
acc_core.adder.cla_blocks\[1\].block.sum\[2\],11.94µm
acc_core.adder.cla_blocks\[4\].block.sum\[1\],11.8µm
_217_,11.78µm
net180,11.78µm
net217,11.76µm
net237,11.74µm
net179,11.725µm
rd_addr\[5\],11.66µm
net346,11.66µm
net119,11.64µm
net344,11.6µm
_226_,11.58µm
net565,11.58µm
net609,11.58µm
_224_,11.56µm
_073_,11.51µm
_138_,11.44µm
net66,11.42µm
net333,11.34µm
net362,11.24µm
dout0_q\[8\],11.2µm
net82,11.1µm
_121_,11.02µm
_057_,10.97µm
net186,10.84µm
net65,10.82µm
_190_,10.78µm
net404,10.78µm
net617,10.78µm
acc_core.adder.cla_blocks\[4\].block.sum\[3\],10.76µm
net283,10.76µm
net218,10.74µm
net272,10.68µm
net202,10.66µm
net338,10.66µm
net62,10.6µm
_123_,10.58µm
valid_d1,10.58µm
net505,10.5µm
_074_,10.46µm
net160,10.44µm
_087_,10.4µm
net40,10.4µm
net197,10.34µm
_108_,10.32µm
net350,10.32µm
net614,10.32µm
net185,10.3µm
_186_,10.28µm
net30,10.24µm
net535,10.24µm
net177,10.22µm
net526,10.18µm
_005_,10.05µm
net360,10.04µm
acc_core.adder.cla_blocks\[1\].block.sum\[1\],10µm
net575,9.99µm
_088_,9.98µm
dout0_q\[9\],9.98µm
net194,9.98µm
net587,9.98µm
_119_,9.96µm
_187_,9.96µm
net35,9.94µm
net611,9.92µm
net151,9.9µm
_152_,9.885µm
_083_,9.86µm
_110_,9.86µm
net534,9.86µm
net245,9.84µm
_091_,9.8µm
net520,9.8µm
net481,9.78µm
net173,9.76µm
_177_,9.72µm
net54,9.7µm
_216_,9.65µm
wr_data[27],9.64µm
wr_data[28],9.64µm
_195_,9.62µm
_004_,9.59µm
acc_core.adder.cla_blocks\[7\].block.sum\[0\],9.56µm
acc_core.adder.cla_blocks\[2\].block.sum\[2\],9.54µm
_262_,9.48µm
net208,9.48µm
net58,9.46µm
net514,9.46µm
_168_,9.45µm
net67,9.4µm
net302,9.38µm
_257_,9.36µm
_266_,9.36µm
net446,9.36µm
acc_core.adder.cla_blocks\[3\].block.sum\[0\],9.34µm
net201,9.32µm
_008_,9.31µm
acc_core.adder.cla_blocks\[5\].block.sum\[3\],9.28µm
_104_,9.26µm
_183_,9.26µm
_103_,9.2µm
acc_core.adder.cla_blocks\[6\].block.sum\[1\],9.14µm
net538,9.08µm
net182,9.06µm
net156,9.04µm
_101_,9.02µm
_175_,9.02µm
_210_,9.02µm
_172_,9µm
acc_out[11],8.96µm
acc_out[12],8.96µm
acc_out[13],8.96µm
acc_out[15],8.96µm
acc_out[16],8.96µm
acc_out[17],8.96µm
acc_out[18],8.96µm
acc_out[19],8.96µm
acc_out[20],8.96µm
acc_out[21],8.96µm
acc_out[24],8.96µm
acc_out[25],8.96µm
acc_out[26],8.96µm
acc_out[28],8.96µm
acc_out[29],8.96µm
acc_out[31],8.96µm
acc_out[8],8.96µm
acc_out[9],8.96µm
net262,8.96µm
net506,8.96µm
acc_core.adder.cla_blocks\[3\].block.sum\[3\],8.94µm
_227_,8.92µm
_125_,8.9µm
acc_core.adder.cla_blocks\[7\].block.sum\[1\],8.9µm
net187,8.9µm
rd_addr\[1\],8.86µm
net525,8.86µm
net130,8.82µm
net531,8.82µm
_016_,8.8µm
net89,8.8µm
rst,8.72µm
wr_data[25],8.72µm
wr_data[26],8.72µm
net537,8.72µm
net157,8.7µm
net513,8.68µm
net125,8.62µm
net209,8.58µm
net147,8.56µm
_063_,8.55µm
acc_out[10],8.5µm
acc_out[27],8.5µm
acc_out[30],8.5µm
net300,8.5µm
_259_,8.48µm
net195,8.44µm
_133_,8.4µm
_144_,8.4µm
_199_,8.365µm
net603,8.36µm
net256,8.34µm
_215_,8.24µm
net351,8.24µm
_095_,8.16µm
_001_,8.15µm
net133,8.14µm
net241,8.14µm
_102_,8.12µm
net536,8.12µm
_239_,8.07µm
net148,8.02µm
dout0_q\[31\],7.98µm
net303,7.96µm
_084_,7.94µm
net275,7.94µm
net212,7.92µm
_197_,7.9µm
net260,7.9µm
net114,7.88µm
_096_,7.76µm
_019_,7.73µm
net88,7.7µm
net80,7.68µm
